case_number,source,case_status,soc_code,soc_title,job_title,workers_requested,workers_certified,employer_name,employer_city,employer_state,worksite_city,worksite_state,wage_from,wage_to,wage_per,employment_begin_date,employment_end_date,received_date,decision_date,noa_issued_date,nature_of_need
H-400-26045-641637,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,15.0,,"J. Hubler Landscaping, Inc.",Elizabethtown,PA,Elizabethtown,PA,19.86,,Hour,2026-05-01,2026-12-15,2026-02-13,2026-03-31,,Peakload
H-400-26034-617768,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,36.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Dunlow,WV,15.6,22.0,Hour,2026-05-01,2026-11-30,2026-02-03,2026-03-31,,Peakload
H-400-26034-617721,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,40.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Morgantown,WV,17.85,22.0,Hour,2026-05-01,2026-11-30,2026-02-03,2026-03-31,,Peakload
H-400-26032-611870,disclosure_fy2026_q2,Withdrawn,47-2061.00,Construction Laborers,Construction Laborer,6.0,,Bow Wow Concrete LLC,Mitchell,SD,Mitchell,SD,20.75,,Hour,2026-05-01,2026-11-30,2026-02-01,2026-03-31,,Peakload
H-400-26004-532543,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborers,7.0,7.0,"Wichman Landscape Construction, LLC",Pittsburgh,PA,Pittsburgh,PA,18.69,18.69,Hour,2026-04-01,2026-11-30,2026-01-03,2026-03-31,,Seasonal
H-400-26003-532374,disclosure_fy2026_q2,Determination Issued - Certification,37-2012.00,Maids and Housekeeping Cleaners,Housekeeping Cleaner,85.0,85.0,"The Broadmoor Hotel, Inc.",Colorado Springs,CO,Colorado Springs,CO,19.1,,Hour,2026-04-01,2026-12-31,2026-01-03,2026-03-31,,Peakload
H-400-26003-532269,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,landscape laborer,5.0,5.0,Cedar Hardscaping LLC,Bear,DE,Bear,DE,19.86,19.86,Hour,2026-04-01,2026-12-31,2026-01-03,2026-03-31,,Seasonal
H-400-26003-532004,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,9.0,9.0,RW Lawncare Corp.,Salt Lake City,UT,Salt Lake City,UT,20.01,21.5,Hour,2026-04-01,2026-11-21,2026-01-03,2026-03-31,,Peakload
H-400-26003-531863,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Qualified Landscape Laborer,18.0,18.0,"Texas GroundWorks Management, Inc.",Houston,TX,Houston,TX,17.42,18.0,Hour,2026-04-01,2026-10-31,2026-01-03,2026-03-31,,Peakload
H-400-26003-531858,disclosure_fy2026_q2,Determination Issued - Denied,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Heavy Truck Driver,4.0,,"Altenburg Construction, Inc.",Lewisville,MN,Lewisville,MN,27.9,28.5,Hour,2026-04-01,2026-12-15,2026-01-03,2026-03-31,,Peakload
H-400-26003-531737,disclosure_fy2026_q2,Withdrawn,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Shrimp Processors,26.0,,"Pamlico Packing Company, Inc.",Grantsboro,NC,Grantsboro,NC,12.39,12.39,Hour,2026-04-01,2026-12-19,2026-01-03,2026-03-31,,Peakload
H-400-26003-531533,disclosure_fy2026_q2,Determination Issued - Denied,37-2012.00,Maids and Housekeeping Cleaners,Housekeepers,10.0,,Tidy Tribe LLC,Ozark,MO,McHenry,MD,16.0,16.0,Hour,2026-04-01,2026-10-31,2026-01-02,2026-03-31,,Seasonal
H-400-26003-531501,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,62.0,,"Yellowstone Landscape - Central, Inc.",PFLUGERVILLE,TX,Pflugerville,TX,18.93,,Hour,2026-04-01,2026-11-01,2026-01-02,2026-03-31,,Peakload
H-400-26003-531425,disclosure_fy2026_q2,Determination Issued - Certification,47-2061.00,Construction Laborers,General Laborer,4.0,4.0,"Sealing Agents Waterproofing, Inc.",Indian Trail,NC,Murfreesboro,TN,22.45,24.0,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Peakload
H-400-26003-531312,disclosure_fy2026_q2,Determination Issued - Certification,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",WINDOW CLEANER,19.0,19.0,"SPOTLESS CLEANING ENTERPRISES, LLC ",RICHMOND ,VA,RICHMOND,VA,16.42,16.42,Hour,2026-04-01,2026-12-23,2026-01-02,2026-03-31,,Peakload
H-400-26003-531228,disclosure_fy2026_q2,Determination Issued - Certification,35-9011.00,Dining Room and Cafeteria Attendants and Bartender Helpers,Food Service Utility ,12.0,12.0,The Silver Bay Association for Christian Conferences and Training,Silver Bay,NY,Silver Bay,NY,17.9,,Hour,2026-04-01,2026-11-19,2026-01-02,2026-03-31,,Peakload
H-400-26002-531037,disclosure_fy2026_q2,Determination Issued - Certification,35-2021.00,Food Preparation Workers,Prep Cook,8.0,8.0,Badlands Saloon and Grille LLC,Wall,SD,Wall,SD,14.73,14.73,Hour,2026-04-01,2026-10-14,2026-01-02,2026-03-31,,Seasonal
H-400-26002-531016,disclosure_fy2026_q2,Determination Issued - Certification,35-3031.00,Waiters and Waitresses,Server,8.0,8.0,Badlands Saloon and Grille LLC,Wall,SD,Wall,SD,14.88,14.88,Hour,2026-04-01,2026-10-14,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530885,disclosure_fy2026_q2,Withdrawn,45-4011.00,Forest and Conservation Workers,Forestry worker,26.0,,Cosmos Forestry LLC,Central Point,OR,Central Point,OR,20.65,28.0,Hour,2026-04-01,2026-11-26,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530832,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Qualified Landscape Laborer,15.0,,Lawn Logic Inc,Charlevoix,MI,Charlevoix,MI,19.33,21.0,Hour,2026-04-01,2026-11-15,2026-01-02,2026-03-31,,Peakload
H-400-26002-530510,disclosure_fy2026_q2,Determination Issued - Certification,37-2012.00,Maids and Housekeeping Cleaners,HOUSEKEEPER,14.0,14.0,"S6 Lodging, LLC",HILL CITY,SD,HILL CITY,SD,14.3,14.3,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530468,disclosure_fy2026_q2,Determination Issued - Certification,35-3023.00,Fast Food and Counter Workers,Concessions Worker,12.0,12.0,ARH Treats LLC,San Antonio,TX,San Antonio,TX,13.32,18.75,Hour,2026-04-01,2026-11-04,2026-01-02,2026-03-31,,Seasonal
H-400-26002-530449,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,7.0,7.0,"Lomas Land Maintenance, LLC",Hutto,TX,Hutto,TX,18.93,20.0,Hour,2026-04-01,2026-12-20,2026-01-02,2026-03-31,,Peakload
H-400-26002-529246,disclosure_fy2026_q2,Withdrawn,47-2051.00,Cement Masons and Concrete Finishers,Concrete Finisher,5.0,,US Pool Plastering of OK,Tulsa,OK,Oklahoma City,OK,23.23,23.23,Hour,2026-04-01,2026-12-31,2026-01-02,2026-03-31,,Peakload
H-400-26002-529219,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,12.0,12.0,Finsterwald Irrigation & Landscape Services Limited,Colorado Springs,CO,Colorado Springs,CO,20.72,20.72,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Seasonal
H-400-26002-528845,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,4.0,4.0,Rainbow Landscaping Inc.,Shelby Township,MI,Shelby Township,MI,19.93,19.93,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Seasonal
H-400-26002-528735,disclosure_fy2026_q2,Withdrawn,39-3091.00,Amusement and Recreation Attendants,Beach/Pool Attendant,5.0,,Hyatt Corporation,Isle of Palms,SC,Isle of Palms,SC,14.0,,Hour,2026-04-01,2026-10-31,2026-01-02,2026-03-31,,Peakload
H-400-26002-528660,disclosure_fy2026_q2,Determination Issued - Certification,47-2051.00,Cement Masons and Concrete Finishers,Concrete Finisher Level 1,15.0,15.0,"Ralph L. Wadsworth Construction Company, LLC",Draper,UT,Draper,UT,27.55,27.55,Hour,2026-04-01,2026-11-30,2026-01-02,2026-03-31,,Peakload
H-400-26001-527510,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,10.0,10.0,Total Turf Golf Services Inc,Huntingdon Valley,PA,Malvern,PA,19.86,,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Seasonal
H-400-26001-527508,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Golf Course Laborer,15.0,15.0,Total Turf Golf Services Inc,Huntingdon Valley,PA,Huntingdon Valley,PA,19.86,,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Seasonal
H-400-26001-527285,disclosure_fy2026_q2,Determination Issued - Certification,35-2014.00,"Cooks, Restaurant",FOOD PREPARATION WORKER,6.0,6.0,GEORGIAN HOSPITALITY LLC,LAKE GEORGE,NY,LAKE GEORGE,NY,19.2,19.2,Hour,2026-04-01,2026-10-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-527151,disclosure_fy2026_q2,Determination Issued - Certification,35-3023.00,Fast Food and Counter Workers,Fast Food & Counter Workers – Mobile Food Concessions,16.0,16.0,Maverick Concepts,Escondido,CA,Escondido,CA,13.06,18.75,Hour,2026-04-01,2026-10-22,2026-01-01,2026-03-31,,Seasonal
H-400-26001-527113,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,LANDSCAPE LABORER,6.0,6.0,AMIGO AZTECA LANDSCAPING INC,MONTPELIER,VA,RICHMOND,VA,18.5,,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-526932,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,15.0,,"Juarez Lawn Care, Inc.",Naples,FL,Naples,FL,19.3,,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Seasonal
H-400-26001-526893,disclosure_fy2026_q2,Determination Issued - Certification,35-9021.00,Dishwashers,DISHWASHERS,21.0,21.0,"Sciarra Restaurant, LLC",Wildwood,NJ,Wildwood,NJ,18.2,18.2,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-526880,disclosure_fy2026_q2,Determination Issued - Certification,35-2015.00,"Cooks, Short Order",SHORT ORDER COOKS,10.0,10.0,Sciarra Restaurant LLC,Wildwood,NJ,Wildwood,NJ,16.57,16.57,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-526633,disclosure_fy2026_q2,Withdrawn,47-2061.00,Construction Laborers,CONCRETE LABORERS,30.0,,INNOVATIVE CONCRETE LLC,ST GEORGE,UT,Box Elder,SD,20.71,20.71,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-526208,disclosure_fy2026_q2,Determination Issued - Certification,37-2012.00,Maids and Housekeeping Cleaners,HOUSEKEEPING,12.0,12.0,GAYATRIKRUPA CORP,SOUTH YARMOUTH,MA,SOUTH YARMOUTH,MA,20.26,,Hour,2026-04-01,2026-11-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-526049,disclosure_fy2026_q2,Determination Issued - Certification,35-2015.00,"Cooks, Short Order",SHORT ORDER COOKS,12.0,12.0,BS Liquors LLC,Wildwood,NJ,Wildwood,NJ,16.57,16.57,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-526047,disclosure_fy2026_q2,Determination Issued - Denied,37-2012.00,Maids and Housekeeping Cleaners,Housekeeper,3.0,,The Glam Kauai LLC,Honolulu,HI,Koloa,HI,23.59,25.0,Hour,2026-04-01,2026-09-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-526014,disclosure_fy2026_q2,Withdrawn,37-2012.00,Maids and Housekeeping Cleaners,Maids & Housekeepers,22.0,,"MJ Cleaning Com., LLC.",Kill Devil Hills,NC,Kill Devil Hills,NC,16.03,16.03,Hour,2026-04-01,2026-09-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-525864,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,36.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Dunlow,WV,15.6,22.0,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-525844,disclosure_fy2026_q2,Withdrawn,47-2061.00,Construction Laborers,LABORER,2.0,,Mid States Materials LLC.,Lecompton,KS,Lecompton,KS,22.36,22.36,Hour,2026-04-01,2026-12-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-525764,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,15.0,,Mark O’Neal,Huntsville,AL,Huntsville,AL,17.69,,Hour,2026-04-01,2026-12-01,2026-01-01,2026-03-31,,Peakload
H-400-26001-525576,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,40.0,,"Growing Seasons Landscaping, LLC",Canonsburg,PA,Morgantown,WV,17.85,22.0,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-524923,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Golf Course Maintenance Worker ,18.0,,"North Ridge Country Club, Inc.",Raleigh,NC,Raleigh,NC,19.0,,Hour,2026-04-01,2026-10-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-524762,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscaper,6.0,,Outdoor Solutions LLC,Walkersville,MD,Walkersville,MD,20.84,,Hour,2026-04-01,2026-12-01,2026-01-01,2026-03-31,,Seasonal
H-400-26001-524576,disclosure_fy2026_q2,Determination Issued - Certification,35-2014.00,"Cooks, Restaurant",Cook II,6.0,6.0,"The Chanler, Inc.",Newport,RI,Newport,RI,19.97,21.0,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-524395,disclosure_fy2026_q2,Withdrawn,37-2012.00,Maids and Housekeeping Cleaners,Housekeeper,8.0,,Caravelle Properties,Myrtle Beach,SC,Myrtle Beach,SC,14.06,14.5,Hour,2026-04-01,2026-10-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-524390,disclosure_fy2026_q2,Withdrawn,37-2012.00,Maids and Housekeeping Cleaners,Housekeeper,15.0,,"Sea Watch Resort, LLC",Myrtle Beach,SC,Myrtle Beach,SC,14.06,14.5,Hour,2026-04-01,2026-10-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-524191,disclosure_fy2026_q2,Determination Issued - Certification,43-4081.00,"Hotel, Motel, and Resort Desk Clerks",Front Desk Clerk,4.0,4.0,USA BAYSHORE MANAGEMENT CORP.,Traverse City,MI,Traverse City,MI,17.0,20.0,Hour,2026-04-01,2026-11-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-524053,disclosure_fy2026_q2,Withdrawn,37-2012.00,Maids and Housekeeping Cleaners,HOUSEKEEPING,6.0,,Missouri Athletic Club,St. Louis,MO,St. Louis,MO,16.55,17.55,Hour,2026-04-01,2026-12-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-523767,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Labor,55.0,,"Peabody Landscape Construction, Inc.",Columbus,OH,Columbus,OH,19.22,19.22,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-523530,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,95.0,95.0,"(BVL3863) BrightView Landscapes, LLC – Pontiac (North & South) / Canton, MI",Blue Bell,PA,Pontiac,MI,19.93,,Hour,2026-04-01,2026-11-13,2026-01-01,2026-03-31,,Seasonal
H-400-26001-523325,disclosure_fy2026_q2,Determination Issued - Certification,35-2014.00,"Cooks, Restaurant",Cook,15.0,15.0,PCH Hotels & Resorts Inc,Mobile,AL,Point Clear,AL,16.0,,Hour,2026-04-01,2026-10-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-523061,disclosure_fy2026_q2,Determination Issued - Certification,47-2051.00,Cement Masons and Concrete Finishers,Concrete Finishers,16.0,16.0,Genuine Builders Inc.,Arlington,SD,Sioux City,IA,26.33,,Hour,2026-04-01,2026-12-15,2026-01-01,2026-03-31,,Seasonal
H-400-26001-523120,disclosure_fy2026_q2,Determination Issued - Certification,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Houseman,2.0,2.0,Music Road Inn LLC,Pigeon Forge,TN,Pigeon Forge,TN,15.34,15.34,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-523196,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,18.0,18.0,"(BVLD1420) BrightView Landscape Development, Inc. - Austin, TX",Blue Bell,PA,Austin,TX,18.93,,Hour,2026-04-01,2026-11-27,2026-01-01,2026-03-31,,Peakload
H-400-26001-523046,disclosure_fy2026_q2,Determination Issued - Certification,47-2061.00,Construction Laborers,Construction Laborers,22.0,22.0,Genuine Builders Inc.,Arlington,SD,Cincinnati,OH,26.28,,Hour,2026-04-01,2026-08-01,2026-01-01,2026-03-31,,Seasonal
H-400-26001-522867,disclosure_fy2026_q2,Determination Issued - Certification,35-2014.00,"Cooks, Restaurant",Cook,10.0,10.0,Greenwood Communities and Resorts Inc,Greenwood,SC,Hilton Head Island,SC,17.59,,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-522788,disclosure_fy2026_q2,Determination Issued - Certification,47-2061.00,Construction Laborers,Construction Laborers,28.0,28.0,Genuine Builders Inc.,Arlington,SD,Hastings,NE,22.45,,Hour,2026-04-01,2026-09-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-522440,disclosure_fy2026_q2,Determination Issued - Certification,47-2051.00,Cement Masons and Concrete Finishers,Concrete Finisher,14.0,14.0,Genuine Builders Inc.,Arlington,SD,Hastings,NE,22.93,,Hour,2026-04-01,2026-09-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-522789,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Maintenance Crew,10.0,10.0,Triangle Pond Management,Raleigh,NC,Raleigh,NC,19.05,19.05,Hour,2026-04-01,2026-12-01,2026-01-01,2026-03-31,,Peakload
H-400-26001-522699,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,12.0,,"J. Hubler Landscaping, Inc.",Elizabethtown,PA,Elizabethtown,PA,19.86,,Hour,2026-04-01,2026-12-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-522781,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborers,85.0,85.0,Clean Scapes – San Antonio LLC,Austin,TX,San Antonio,TX,17.39,17.39,Hour,2026-04-01,2026-11-18,2026-01-01,2026-03-31,,Peakload
H-400-26001-522584,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborers,20.0,20.0,"Clean Scapes - Houston, LLC",Austin,TX,Cypress,TX,17.42,17.42,Hour,2026-04-01,2026-11-18,2026-01-01,2026-03-31,,Peakload
H-400-26001-522713,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Crew Member,8.0,8.0,Pro-Mow Lawn Care LLC,Byron Center,MI,Byron Center,MI,19.2,19.2,Hour,2026-04-01,2026-11-20,2026-01-01,2026-03-31,,Peakload
H-400-26001-522485,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,General Lawn Maintenance Crew Member,14.0,14.0,"Custom Lawn & Landscape, Inc.",Olathe,KS,Olathe,KS,20.15,20.15,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-522019,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Seed sprayers,4.0,4.0,"Soil Concepts, Inc.",Marion ,IA,Waterloo,IA,18.6,18.6,Week,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-521491,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,4.0,4.0,Beauty View Landscape,Winchester,VA,Purecellville,VA,20.84,,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-521585,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborers,7.0,7.0,"Yellowstone Landscape - Southeast, LLC_Palm Coast",Bunnell,FL,Bunnell,FL,17.36,,Hour,2026-04-01,2026-10-31,2026-01-01,2026-03-31,,Peakload
H-400-26001-521025,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,12.0,12.0,"(¿BVLS3441) BrightView Landscape Services, Inc. – Englewood, FL",Blue Bell,PA,Englewood,FL,18.25,,Hour,2026-04-01,2026-10-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-521087,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscaping & Groundskeeping Worker,34.0,34.0,"Ruppert Landscape, LLC",Laytonsville,MD,Lorton,VA,20.87,25.0,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-520934,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,4.0,4.0,"D'Imperio Brothers Landscaping, Inc",Bordentown,NJ,Bordentown,NJ,20.2,33.5,Hour,2026-04-01,2026-12-18,2026-01-01,2026-03-31,,Peakload
H-400-26001-520899,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,170.0,,"Triple H Services, LLC",Newland,NC,Newland,NC,17.08,24.0,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520777,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Maintenance Landscape Assistant,9.0,9.0,"Great America, LLC",Gurnee,IL,Gurnee,IL,21.26,,Hour,2026-04-01,2026-11-08,2026-01-01,2026-03-31,,Peakload
H-400-26001-520751,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Maintenance Laborer,19.0,19.0,Earthtones Maintenance LLC,Midlothian,TX,Midlothian,TX,18.42,18.42,Hour,2026-04-01,2026-11-15,2026-01-01,2026-03-31,,Peakload
H-400-26001-520743,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,20.0,20.0,"(¿BVLS3422) BrightView Landscape Services, Inc. – Tampa, FL (North)",Blue Bell,PA,Lutz,FL,17.89,,Hour,2026-04-01,2026-10-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-520766,disclosure_fy2026_q2,Determination Issued - Certification,35-3023.00,Fast Food and Counter Workers,Food Concessionaire,7.0,7.0,Sandy Lynn Moegerle,Atwater,OH,Atwater,OH,13.73,14.27,Hour,2026-04-01,2026-11-15,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520599,disclosure_fy2026_q2,Determination Issued - Partial Certification,35-2014.00,"Cooks, Restaurant",Food Service and Resort Attendant,145.0,105.0,"The Dollywood Company, a Tennessee Joint Venture",Pigeon Forge,TN,Pigeon Forge,TN,16.13,,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520665,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscaping and Groundskeeping Workers (LG-AD),22.0,22.0,BeGreen Landscapes LLC (1698),Longmont,CO,Lafayette,CO,24.03,30.0,Hour,2026-04-01,2026-12-15,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520414,disclosure_fy2026_q2,Withdrawn,47-2061.00,Construction Laborers,Construction Laborer,6.0,,Bow Wow Concrete LLC,Mitchell,SD,Mitchell,SD,20.75,,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-520471,disclosure_fy2026_q2,Determination Issued - Certification,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Maintenance/Install Laborer,5.0,5.0,Brian Thompson Landscaping,Lyndhurst,OH,Lyndhurst,OH,18.91,,Hour,2026-04-01,2026-12-15,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520396,disclosure_fy2026_q2,Determination Issued - Certification,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Pool Technician,4.0,4.0,"Bay Area Pools and Spas, LLC",Tampa,FL,Austin,TX,16.9,,Hour,2026-04-01,2026-11-30,2026-01-01,2026-03-31,,Peakload
H-400-26001-520389,disclosure_fy2026_q2,Determination Issued - Certification,45-4011.00,Forest and Conservation Workers,Forestry Worker,60.0,60.0,"Strongwood Forestry, Inc.",Corinth,MS,McCall,ID,20.62,25.71,Hour,2026-04-01,2026-06-20,2026-01-01,2026-03-31,,Seasonal
H-400-26001-520315,disclosure_fy2026_q2,Determination Issued - Certification,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Mechanic Helpers,6.0,6.0,Sterling Sugars LLC,Franklin,LA,Franklin,LA,15.44,,Hour,2026-04-01,2026-12-31,2026-01-01,2026-03-31,,Seasonal
H-400-25356-502581,disclosure_fy2026_q2,Withdrawn,37-3011.00,Landscaping and Groundskeeping Workers,Landscape Laborer,14.0,,"M&P Investing, LLC",Ozark,MO,Ozark,MO,18.31,18.31,Hour,2026-03-20,2026-11-30,2025-12-22,2026-03-31,,Peakload
H-400-26033-613478,disclosure_fy2026_q2,Withdrawn,37-2012.00,Maids and Housekeeping Cleaners,Housekeeper,3.0,,"Linville Resorts, Inc.",Linville,NC,Linville,NC,17.0,20.0,Hour,2026-05-01,2026-10-18,2026-02-02,2026-03-30,,Peakload
H-400-26033-613477,disclosure_fy2026_q2,Withdrawn,35-9021.00,Dishwashers,Dishwasher,2.0,,"Linville Resorts, Inc.",Linville,NC,Linville,NC,16.0,19.0,Hour,2026-05-01,2026-10-18,2026-02-02,2026-03-30,,Seasonal
H-400-26004-532611,disclosure_fy2026_q2,Determination Issued - Certification,39-3091.00,Amusement and Recreation Attendants,Amusement and Recreation Attendants,55.0,55.0,Norse Amusements Inc,Las Vegas,NV,Las Vegas,NV,12.88,19.74,Hour,2026-04-01,2026-11-30,2026-01-03,2026-03-30,,Seasonal
H-400-26003-532135,disclosure_fy2026_q2,Determination Issued - Certification,47-2051.00,Cement Masons and Concrete Finishers,Concrete Finisher,4.0,4.0,Single Source Systems Inc,Peculiar,MO,Peculiar,MO,32.54,32.54,Hour,2026-04-01,2026-11-30,2026-01-03,2026-03-30,,Peakload
